"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0066-x,Why security and privacy research lies at the centre of the information systems (IS) artefact: proposing a bold research agenda,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","In this essay, we outline some important concerns in the hope of improving the effectiveness of security and privacy research. We discuss the need to re-examine our understanding of information technology and information system (IS) artefacts and to expand the range of the latter to include those artificial phenomena that are crucial to information security and privacy research. We then briefly discuss some prevalent limitations in theory, methodology, and contributions that generally weaken security/privacy studies and jeopardise their chances of publication in a top IS journal. More importantly, we suggest remedies for these weaknesses, identifying specific improvements that can be made and offering a couple of illustrations of such improvements. In particular, we address the notion of loose re-contextualisation, using deterrence theory research as an example. We also provide an illustration of how the focus on intentions may have resulted in an underuse of powerful theories in security and privacy research, because such theories explain more than just intentions. We then outline three promising opportunities for IS research that should be particularly compelling to security and privacy researchers: online platforms, the Internet of things, and big data. All of these carry innate information security and privacy risks and vulnerabilities that can be addressed only by researching each link of the systems chain, that is, technologies–policies–processes–people–society–economy–legislature. We conclude by suggesting several specific opportunities for new research in these areas.","['security', 'privacy', 'information technology (IT) artefact', 'information systems (IS) artefact', 'future research', 'online platforms', 'the Internet of things (IoT)', 'big data', 'deterrence theory (DT)', 'rational choice theory (RCT)']",Paul Benjamin Lowry,"Professor Paul Benjamin Lowry is a Full Professor of Information Systems at the Faculty of Business and Economics, at the University of Hong Kong. He received his Ph.D. in Management Information Systems from the University of Arizona and an MBA from the Marriott School of Management. He has published 100 + journal articles in MIS Quarterly, Information Systems Research, J. of Management Information Systems, J. of the AIS, Information Systems J., European J. of Information Systems, IJHCS, JASIST, I&M, CACM, DSS, and many others. He is the co-editor-in-Chief of AIS-Transactions on HCI. He is an SE at J. of the AIS, Information Systems J., and Decision Sciences. He serves as an AE at the European J. of IS and Information & Management. He has also served multiple times as track co-chair at ICIS, ECIS, and PACIS. His research interests include organisational and behavioural security/privacy issues; HCI and decision sciences; e-commerce and supply chains; and scientometrics.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0066-x,Why security and privacy research lies at the centre of the information systems (IS) artefact: proposing a bold research agenda,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","In this essay, we outline some important concerns in the hope of improving the effectiveness of security and privacy research. We discuss the need to re-examine our understanding of information technology and information system (IS) artefacts and to expand the range of the latter to include those artificial phenomena that are crucial to information security and privacy research. We then briefly discuss some prevalent limitations in theory, methodology, and contributions that generally weaken security/privacy studies and jeopardise their chances of publication in a top IS journal. More importantly, we suggest remedies for these weaknesses, identifying specific improvements that can be made and offering a couple of illustrations of such improvements. In particular, we address the notion of loose re-contextualisation, using deterrence theory research as an example. We also provide an illustration of how the focus on intentions may have resulted in an underuse of powerful theories in security and privacy research, because such theories explain more than just intentions. We then outline three promising opportunities for IS research that should be particularly compelling to security and privacy researchers: online platforms, the Internet of things, and big data. All of these carry innate information security and privacy risks and vulnerabilities that can be addressed only by researching each link of the systems chain, that is, technologies–policies–processes–people–society–economy–legislature. We conclude by suggesting several specific opportunities for new research in these areas.","['security', 'privacy', 'information technology (IT) artefact', 'information systems (IS) artefact', 'future research', 'online platforms', 'the Internet of things (IoT)', 'big data', 'deterrence theory (DT)', 'rational choice theory (RCT)']",Tamara Dinev,"Tamara Dinev is Full Professor and Chair of the Department of Information Technology and Operations Management (ITOM) and Dean’s Research Fellow, College of Business, Florida Atlantic University, Boca Raton, Florida. She received her Ph.D. in Theoretical Physics in 1997. Following several senior positions in information technology companies, her interests migrated to management information systems research and she joined the Florida Atlantic University ITOM faculty in 2000. Her research interests include information privacy, trust in online vendors, multicultural aspects of information technology usage, and information security. She published in several journals, including MIS Quarterly, Information Systems Research, Journal of the AIS, European Journal of Information Systems, Journal of Strategic Information Systems, Communications of the ACM, International Journal of Electronic Commerce, Journal of Global Information Management, e-Service Journal, and Behaviour and Information Technology. She has received numerous best paper awards and nominations at major information system conferences.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0066-x,Why security and privacy research lies at the centre of the information systems (IS) artefact: proposing a bold research agenda,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","In this essay, we outline some important concerns in the hope of improving the effectiveness of security and privacy research. We discuss the need to re-examine our understanding of information technology and information system (IS) artefacts and to expand the range of the latter to include those artificial phenomena that are crucial to information security and privacy research. We then briefly discuss some prevalent limitations in theory, methodology, and contributions that generally weaken security/privacy studies and jeopardise their chances of publication in a top IS journal. More importantly, we suggest remedies for these weaknesses, identifying specific improvements that can be made and offering a couple of illustrations of such improvements. In particular, we address the notion of loose re-contextualisation, using deterrence theory research as an example. We also provide an illustration of how the focus on intentions may have resulted in an underuse of powerful theories in security and privacy research, because such theories explain more than just intentions. We then outline three promising opportunities for IS research that should be particularly compelling to security and privacy researchers: online platforms, the Internet of things, and big data. All of these carry innate information security and privacy risks and vulnerabilities that can be addressed only by researching each link of the systems chain, that is, technologies–policies–processes–people–society–economy–legislature. We conclude by suggesting several specific opportunities for new research in these areas.","['security', 'privacy', 'information technology (IT) artefact', 'information systems (IS) artefact', 'future research', 'online platforms', 'the Internet of things (IoT)', 'big data', 'deterrence theory (DT)', 'rational choice theory (RCT)']",Robert Willison,"Robert Willison is a senior lecturer at Newcastle University Business School. He earned his Ph.D. in IS from the London School of Economics and Political Science. He has served as a guest AE editor for MIS Quarterly and an AE for European Journal of Information Systems. His work has appeared in such outlets as MIS Quarterly, European Journal of Information Systems, Information and Organisation, Information and Management and Communications of the ACM. His broad area of research is IS Security, with a specific focus on insider computer abuse.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0058-x,Which phish get caught? An exploratory study of individualsâ€² susceptibility to phishing,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","Phishing, or the practice of sending deceptive electronic communications to acquire private information from victims, results in significant financial losses to individuals and businesses. The first goal of this study is to identify situational and personality factors that explain why certain individuals are susceptible to such attacks. The second goal is to test those empirically, along with previously identified factors, to explain the likelihood that an individual will fall victim to a phishing attack. We employed the Delphi method to identify seven personality factors that may influence this susceptibility (trust, distrust, curiosity, entertainment drive, boredom proneness, lack of focus, and risk propensity). Our regression model included these as well as variables examined in previous studies. We find that emails sent from a known source significantly increase user susceptibility to phishing, as does a user’s curiosity, risk propensity, general Internet usage, and Internet anxiety. In post hoc tests, we also find that trust and distrust can be significant predictors of susceptibility and that this significance is dependent on the characteristics of the message.","['phishing', 'information security', 'deception', 'ethical phishing experiment']",Gregory D. Moody,"Gregory D. Moody received his Ph.D. from the University of Pittsburgh and the University of Oulu. He has published in ISR, MISQ, JMIS, JAIS, ISJ, I&M, JASIST, and other journals. His interests include IS security and privacy, e-business (electronic markets, trust), and human–computer interaction (website browsing, entertainment).",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0058-x,Which phish get caught? An exploratory study of individualsâ€² susceptibility to phishing,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","Phishing, or the practice of sending deceptive electronic communications to acquire private information from victims, results in significant financial losses to individuals and businesses. The first goal of this study is to identify situational and personality factors that explain why certain individuals are susceptible to such attacks. The second goal is to test those empirically, along with previously identified factors, to explain the likelihood that an individual will fall victim to a phishing attack. We employed the Delphi method to identify seven personality factors that may influence this susceptibility (trust, distrust, curiosity, entertainment drive, boredom proneness, lack of focus, and risk propensity). Our regression model included these as well as variables examined in previous studies. We find that emails sent from a known source significantly increase user susceptibility to phishing, as does a user’s curiosity, risk propensity, general Internet usage, and Internet anxiety. In post hoc tests, we also find that trust and distrust can be significant predictors of susceptibility and that this significance is dependent on the characteristics of the message.","['phishing', 'information security', 'deception', 'ethical phishing experiment']",Dennis F. Galletta,"Dennis F. Galletta is an AIS Fellow, was previously President of AIS, and is a recent LEO award winner. He also serves as Director of Doctoral Programs at Katz. He obtained his Ph.D. in MIS from the University of Minnesota, and his research interests cover end-user behaviour, attitudes, and performance, as well as behavioural security.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0058-x,Which phish get caught? An exploratory study of individualsâ€² susceptibility to phishing,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","Phishing, or the practice of sending deceptive electronic communications to acquire private information from victims, results in significant financial losses to individuals and businesses. The first goal of this study is to identify situational and personality factors that explain why certain individuals are susceptible to such attacks. The second goal is to test those empirically, along with previously identified factors, to explain the likelihood that an individual will fall victim to a phishing attack. We employed the Delphi method to identify seven personality factors that may influence this susceptibility (trust, distrust, curiosity, entertainment drive, boredom proneness, lack of focus, and risk propensity). Our regression model included these as well as variables examined in previous studies. We find that emails sent from a known source significantly increase user susceptibility to phishing, as does a user’s curiosity, risk propensity, general Internet usage, and Internet anxiety. In post hoc tests, we also find that trust and distrust can be significant predictors of susceptibility and that this significance is dependent on the characteristics of the message.","['phishing', 'information security', 'deception', 'ethical phishing experiment']",Brian Kimball Dunn,"Brian Kimball Dunn received his Ph.D. in Information Systems from the Katz Graduate School of Business at the University of Pittsburgh. Prior to entering academia, he spent 10 years in corporate practice managing e-commerce and online marketing functions for large multi-national corporations.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0065-y,Taking stock of organisationsâ€™ protection of privacy: categorising and assessing threats to personally identifiable information in the USA,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","Many organisations create, store, or purchase information that links individuals’ identities to other data. Termed personally identifiable information (PII), this information has become the lifeblood of many firms across the globe. As organisations accumulate their constituencies’ PII (e.g. customers’, students’, patients’, and employees’ data), individuals’ privacy will depend on the adequacy of organisations’ information privacy safeguards. Despite existing protections, many breaches still occur. For example, US organisations reported around 4,500 PII-breach events between 2005 and 2015. With such a high number of breaches, determining all threats to PII within organisations proves a burdensome task. In light of this difficulty, we utilise text-mining and cluster analysis techniques to create a taxonomy of various organisational PII breaches, which will help drive targeted research towards organisational PII protection. From an organisational systematics perspective, our classification system provides a foundation to explain the diversity among the myriad of threats. We identify eight major PII-breach types and provide initial literature reviews for each type of breach. We detail how US organisations differ regarding their exposure to these breaches, as well as how the level of severity (i.e. number of records affected) differs among these PII breaches. Finally, we offer several paths for future research.","['personally identifiable information (PII)', 'breach analysis', 'taxonomy development', 'privacy', 'confidentiality']",Clay Posey,"Clay Posey is an Associate Professor of Management with a joint appointment in the Institute for Simulation & Training at University of Central Florida. His research has appeared in various journals including MIS Quarterly, Journal of Management Information Systems, European Journal of Information Systems, and Information & Management, among others.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0065-y,Taking stock of organisationsâ€™ protection of privacy: categorising and assessing threats to personally identifiable information in the USA,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","Many organisations create, store, or purchase information that links individuals’ identities to other data. Termed personally identifiable information (PII), this information has become the lifeblood of many firms across the globe. As organisations accumulate their constituencies’ PII (e.g. customers’, students’, patients’, and employees’ data), individuals’ privacy will depend on the adequacy of organisations’ information privacy safeguards. Despite existing protections, many breaches still occur. For example, US organisations reported around 4,500 PII-breach events between 2005 and 2015. With such a high number of breaches, determining all threats to PII within organisations proves a burdensome task. In light of this difficulty, we utilise text-mining and cluster analysis techniques to create a taxonomy of various organisational PII breaches, which will help drive targeted research towards organisational PII protection. From an organisational systematics perspective, our classification system provides a foundation to explain the diversity among the myriad of threats. We identify eight major PII-breach types and provide initial literature reviews for each type of breach. We detail how US organisations differ regarding their exposure to these breaches, as well as how the level of severity (i.e. number of records affected) differs among these PII breaches. Finally, we offer several paths for future research.","['personally identifiable information (PII)', 'breach analysis', 'taxonomy development', 'privacy', 'confidentiality']",Uzma Raja,"Uzma Raja is Professor of MIS at the University of Alabama. She received her PhD from Texas A&M University. Her research area is systems evolution, text mining, and open source ecosystems. She has published in journals such as IEEE Transactions on Software Engineering, Decision Sciences, and IIE Transactions.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0065-y,Taking stock of organisationsâ€™ protection of privacy: categorising and assessing threats to personally identifiable information in the USA,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","Many organisations create, store, or purchase information that links individuals’ identities to other data. Termed personally identifiable information (PII), this information has become the lifeblood of many firms across the globe. As organisations accumulate their constituencies’ PII (e.g. customers’, students’, patients’, and employees’ data), individuals’ privacy will depend on the adequacy of organisations’ information privacy safeguards. Despite existing protections, many breaches still occur. For example, US organisations reported around 4,500 PII-breach events between 2005 and 2015. With such a high number of breaches, determining all threats to PII within organisations proves a burdensome task. In light of this difficulty, we utilise text-mining and cluster analysis techniques to create a taxonomy of various organisational PII breaches, which will help drive targeted research towards organisational PII protection. From an organisational systematics perspective, our classification system provides a foundation to explain the diversity among the myriad of threats. We identify eight major PII-breach types and provide initial literature reviews for each type of breach. We detail how US organisations differ regarding their exposure to these breaches, as well as how the level of severity (i.e. number of records affected) differs among these PII breaches. Finally, we offer several paths for future research.","['personally identifiable information (PII)', 'breach analysis', 'taxonomy development', 'privacy', 'confidentiality']",Robert E. Crossler,"Robert E. Crossler is an Assistant Professor of Information Systems at Washington State University. His research has been published in leading MIS journals, including MIS Quarterly, Decision Support Systems, and The DATA BASE for Advances in Information Systems, where his manuscript on privacy was recognised as best paper in 2014.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0065-y,Taking stock of organisationsâ€™ protection of privacy: categorising and assessing threats to personally identifiable information in the USA,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","Many organisations create, store, or purchase information that links individuals’ identities to other data. Termed personally identifiable information (PII), this information has become the lifeblood of many firms across the globe. As organisations accumulate their constituencies’ PII (e.g. customers’, students’, patients’, and employees’ data), individuals’ privacy will depend on the adequacy of organisations’ information privacy safeguards. Despite existing protections, many breaches still occur. For example, US organisations reported around 4,500 PII-breach events between 2005 and 2015. With such a high number of breaches, determining all threats to PII within organisations proves a burdensome task. In light of this difficulty, we utilise text-mining and cluster analysis techniques to create a taxonomy of various organisational PII breaches, which will help drive targeted research towards organisational PII protection. From an organisational systematics perspective, our classification system provides a foundation to explain the diversity among the myriad of threats. We identify eight major PII-breach types and provide initial literature reviews for each type of breach. We detail how US organisations differ regarding their exposure to these breaches, as well as how the level of severity (i.e. number of records affected) differs among these PII breaches. Finally, we offer several paths for future research.","['personally identifiable information (PII)', 'breach analysis', 'taxonomy development', 'privacy', 'confidentiality']",A. J. Burns,"A. J. Burns is an Assistant Professor in the College of Business and Technology at the University of Texas at Tyler. He earned his DBA in Computer Information Systems from Louisiana Tech University. His research interests include behavioural cybersecurity, complex adaptive systems, and health information security and privacy.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0059-9,Organizational information security policies: a review and research framework,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","A major stream of research within the field of information systems security examines the use of organizational policies that specify how users of information and technology resources should behave in order to prevent, detect, and respond to security incidents. However, this growing (and at times, conflicting) body of research has made it challenging for researchers and practitioners to comprehend the current state of knowledge on the formation, implementation, and effectiveness of security policies in organizations. Accordingly, the purpose of this paper is to synthesize what we know and what remains to be learned about organizational information security policies, with an eye toward a holistic understanding of this research stream and the identification of promising paths for future study. We review 114 influential security policy-related journal articles and identify five core relationships examined in the literature. Based on these relationships, we outline a research framework that synthesizes the construct linkages within the current literature. Building on our analysis of these results, we identify a series of gaps and draw on additional theoretical perspectives to propose a revised framework that can be used as a basis for future research.","['information security', 'policy', 'security policy', 'compliance', 'literature review', 'research framework']",W. Alec Cram,"W. Alec Cram is an Assistant Professor of Information and Process Management at Bentley University. He received a Ph.D. from Queen’s University. Alec previously worked as an IT Audit Manager at Deloitte, where he received a CISSP and CISA. Alec currently teaches undergraduate and graduate information security classes, while his research focuses on how information systems control initiatives can contribute to improving the performance of organizational processes. His work has been published or is forthcoming in outlets including the Information Systems Journal, European Journal of Information Systems, Journal of the Association for Information Systems and Information and Management.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0059-9,Organizational information security policies: a review and research framework,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","A major stream of research within the field of information systems security examines the use of organizational policies that specify how users of information and technology resources should behave in order to prevent, detect, and respond to security incidents. However, this growing (and at times, conflicting) body of research has made it challenging for researchers and practitioners to comprehend the current state of knowledge on the formation, implementation, and effectiveness of security policies in organizations. Accordingly, the purpose of this paper is to synthesize what we know and what remains to be learned about organizational information security policies, with an eye toward a holistic understanding of this research stream and the identification of promising paths for future study. We review 114 influential security policy-related journal articles and identify five core relationships examined in the literature. Based on these relationships, we outline a research framework that synthesizes the construct linkages within the current literature. Building on our analysis of these results, we identify a series of gaps and draw on additional theoretical perspectives to propose a revised framework that can be used as a basis for future research.","['information security', 'policy', 'security policy', 'compliance', 'literature review', 'research framework']",Jeffrey G. Proudfoot,"Jeffrey G. Proudfoot is an Assistant Professor in the Information and Process Management Department at Bentley University. Jeff’s research centers on information security and privacy with emphases on automated credibility assessment and insider threat detection. Jeff has contributed to over $1 million in Department of Homeland Security (DHS), Center for Identification Technology Research (CITeR), and National Science Foundation (NSF) grants, of which over $500 k was awarded with Jeff operating as a PI or a co-PI. His work has been published or is forthcoming in journals including the Journal of Management Information Systems, Information Technology for Development, Journal of Nonverbal Behavior, and International Journal of Sociology and Social Policy.",NA
"European Journal of Information Systems, Volume 26, Issue 6 (2017)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0059-9,Organizational information security policies: a review and research framework,Issue 6,"Volume 26, 2017 - Issue 6: Security and Privacy in 21st Century Organisations","A major stream of research within the field of information systems security examines the use of organizational policies that specify how users of information and technology resources should behave in order to prevent, detect, and respond to security incidents. However, this growing (and at times, conflicting) body of research has made it challenging for researchers and practitioners to comprehend the current state of knowledge on the formation, implementation, and effectiveness of security policies in organizations. Accordingly, the purpose of this paper is to synthesize what we know and what remains to be learned about organizational information security policies, with an eye toward a holistic understanding of this research stream and the identification of promising paths for future study. We review 114 influential security policy-related journal articles and identify five core relationships examined in the literature. Based on these relationships, we outline a research framework that synthesizes the construct linkages within the current literature. Building on our analysis of these results, we identify a series of gaps and draw on additional theoretical perspectives to propose a revised framework that can be used as a basis for future research.","['information security', 'policy', 'security policy', 'compliance', 'literature review', 'research framework']",John D’Arcy,"John D’Arcy is an Associate Professor in the Department of Accounting and MIS, Lerner College of Business and Economics, at the University of Delaware. He received his Ph.D. in Management Information Systems from Temple University. His research interests include information assurance and security, IT risk management, and computer ethics. His work appears in journals such as Information Systems Research, Decision Sciences Journal, European Journal of Information Systems, Journal of Management Information Systems, MIT Sloan Management Review, Decision Support Systems, and Computers and Security.",NA
